臺南市西港區後營里173線公路
臺南市安南區十二佃路
臺南市柳營區八翁里南外環道路
臺南市下營區宅內里友愛街126巷
臺南市官田區渡頭里
臺南市南化區南176線
臺南市麻豆區小埤里
臺南市佳里區六安里台19線公路
臺南市將軍區將貴里
臺南市安南區安明路四段
臺南市南區萬年路
臺南市歸仁區七甲里南丁路
臺南市北區小東路東興路2段
臺南市關廟區北花里中正路
臺南市將軍區將貴里45-2號南18線
臺南市永康區大灣里大灣六街
臺南市南區國民路
臺南市安平區文平路
臺南市關廟區五甲里南雄路一段
臺南市永康區尚頂里中正南路
臺南市麻豆區安東里
臺南市柳營區神農里
臺南市安平區安北路
臺南市六甲區龜港里
臺南市北區和緯路四段
臺南市善化區光文里中正路
臺南市仁德區仁愛里大同路三段
臺南市將軍區長榮里產業道路
臺南市下營區營前里臺19甲線
臺南市關廟區香洋里花園一街
臺南市玉井區豐里里臺84線
臺南市南區鯤鯓路
臺南市後壁區國道一號
臺南市仁德區保安里文賢路一段
臺南市六甲區王爺里174線
臺南市佳里區建南里新生路
臺南市新營區護鎮里建國路
臺南市新營區新東里長榮路
臺南市善化區文昌里文昌路
臺南市柳營區八翁里柳營外環道
臺南市永康區崑山里大灣路
臺南市永康區王行里中山北路
臺南市將軍區長沙里將軍交流道加油站西側111公尺路
臺南市永康區鹽行里中正三街
臺南市後壁區嘉民里臺一線
臺南市北區長榮路五段
臺南市歸仁區西埔里西埔一街
臺南市龍崎區土崎里
臺南市下營區後街
臺南市安平區民權路四段
臺南市永康區龍潭里中山北路
臺南市善化區東昌里
臺南市安定區安加里
臺南市關廟區布袋里南雄南路
臺南市白河區河東里172線
臺南市麻豆區南勢里南61線
臺南市東區林森路二段
臺南市新市區南科三路
臺南市安定區大同里牛肉寮25號路燈路段
臺南市楠西區灣丘里南188線
臺南市學甲區新榮里華宗路
臺南市玉井區竹圍里臺3線
臺南市安平區國平路
臺南市仁德區仁愛里大同路三段
臺南市佳里區興化里未命名道路
臺南市關廟區北花里中正路
臺南市新市區環東路一段
臺南市關廟區五甲路
臺南市麻豆區北勢里
臺南市新市區社內里臺1線
臺南市永康區三民里正北三路
