road
臺東縣成功鎮台11線
臺東縣臺東市松江路2段
臺東縣卑南鄉美農村
臺東縣關山鎮台9線
臺東縣太麻里鄉金崙村台9線
臺東縣太麻里鄉金崙村東66線
臺東縣臺東市馬亨亨大道
臺東縣太麻里鄉華源村台9線
臺東縣關山鎮電光里縣197線
臺東縣大武鄉大武村台9線
臺東縣臺東市松江路二段
臺東縣卑南鄉初鹿村初鹿三街
臺東縣卑南鄉台9線
臺東縣大武鄉大竹村台9線
臺東縣太麻里鄉泰和村台9線
臺東縣關山鎮台9線
臺東縣長濱鄉三間村台11線
臺東縣卑南鄉溫泉路
臺東縣臺東市知本路一段
臺東縣成功鎮忠孝里台11線
臺東縣臺東市正氣北路
臺東縣太麻里鄉香蘭村台9線
臺東縣蘭嶼鄉椰油村環島公路
臺東縣大武鄉尚武村
臺東縣鹿野鄉中華路一段
臺東縣海端鄉台9線327公里200公尺處北向路
臺東縣臺東市中正路
臺東縣臺東市正氣北路
臺東縣臺東市更生北路
臺東縣卑南鄉溫泉村龍泉路43巷路段
臺東縣太麻里鄉美和村92號台9線
臺東縣鹿野鄉台9線
臺東縣東河鄉北源村台23線
臺東縣關山鎮月眉里
臺東縣鹿野鄉瑞源村8鄰育才路
臺東縣鹿野鄉瑞隆村15鄰新源路
臺東縣長濱鄉寧埔村城山路段
臺東縣太麻里鄉北里村台9線
臺東縣大武鄉大鳥村台9線
臺東縣達仁鄉森永村台9線
臺東縣太麻里鄉多良村台9線
臺東縣臺東市南榮里更生路
臺東縣池上鄉福原村忠孝路
臺東縣臺東市南王里更生北路
臺東縣臺東市臨海路二段
臺東縣長濱鄉長濱村田組路段
臺東縣臺東市富岡里松江路
臺東縣臺東市東海里新生路
臺東縣臺東市新興里中華路一段
臺東縣太麻里
臺東縣鹿野鄉台9線
臺東縣池上鄉大埔村9鄰陸安17-1號前道路
臺東縣臺東市台11線
臺東縣關山鎮台9線
臺東縣臺東市馬亨亨大道
臺東縣鹿野鄉和平段
臺東縣東河鄉泰源村七塊厝產業道路
臺東縣臺東市南王里志航路一段
臺東縣太麻里鄉美和村台9線
臺東縣成功鎮忠仁里36鄰麒麟路
臺東縣臺東市富岡里松江路二段
臺東縣東河鄉興昌村興隆產業道路
臺東縣鹿野鄉鹿野村中華路二段
臺東縣臺東市知本路二段
臺東縣關山鎮新福里和平路
臺東縣長濱鄉台11線
臺東縣長濱鄉竹湖村25號台11線
臺東縣東河鄉隆昌村花東海岸公路
臺東縣太麻里鄉泰和村太麻里街18號台9線
臺東縣臺東市四維路二段
臺東縣關山鎮月眉里中和路
臺東縣關山鎮電光里9鄰廣興路
臺東縣臺東市開封街631巷
臺東縣太麻里鄉北里村台9線
臺東縣臺東市大學路二段
臺東縣鹿野鄉永安村永樂路
臺東縣臺東市中興路四段
臺東縣臺東市更生北路
臺東縣臺東市中興路三段
臺東縣臺東市臨海路二段
臺東縣太麻里
臺東縣關山鎮豐泉里10鄰和平路
臺東縣臺東市南榮里更生路
臺東縣卑南鄉賓朗村賓朗路
臺東縣達仁鄉南田村里台26線
臺東縣卑南鄉台9線
臺東縣臺東市豐原街478巷
臺東縣臺東市建農里知本路二段
臺東縣成功鎮忠孝里
臺東縣臺東市正氣北路
臺東縣臺東市中興路二段
臺東縣東河鄉隆昌村
臺東縣臺東市臨海路一段
臺東縣大武鄉南興村台9線
臺東縣卑南鄉台9線
臺東縣長濱鄉台11線
臺東縣臺東市興安路一段
臺東縣臺東市台11線
臺東縣成功鎮和平里
臺東縣臺東市中興路六段
臺東縣卑南鄉卑南鄉利嘉路
臺東縣成功鎮台11線
臺東縣臺東市中興路五段
臺東縣長濱鄉台11線
臺東縣卑南鄉台9線
臺東縣臺東市中華路四段
臺東縣太麻里鄉台9線
臺東縣卑南鄉明峰村忠孝路
臺東縣臺東市台9線
臺東縣池上鄉松吉路
臺東縣太麻里鄉台九線
臺東縣鹿野鄉台9線
臺東縣關山鎮月眉里台9線
臺東縣成功鎮三仙里基翬路
臺東縣成功鎮台11線
臺東縣成功鎮信義里新村路新村段
臺東縣大武鄉台9線
臺東縣鹿野鄉中華路二段
臺東縣臺東市中興路六段
臺東縣太麻里鄉台9線
臺東縣太麻里鄉泰和村台9線
臺東縣臺東市正氣北路
臺東縣太麻里鄉香蘭村台9線
臺東縣臺東市新生路
臺東縣臺東市豐谷北路
臺東縣長濱鄉台11線85公里0公尺處北向路
臺東縣達仁鄉台9線
臺東縣長濱鄉樟原村
臺東縣成功鎮新生路
臺東縣臺東市更生路
臺東縣臺東市中華路二段
臺東縣太麻里
臺東縣太麻里
臺東縣臺東市中華路一段
臺東縣成功鎮台11129公里
臺東縣太麻里
臺東縣臺東市志航路三段
臺東縣成功鎮台11119公里
臺東縣卑南鄉無名產業道路
臺東縣臺東市南島大道
臺東縣長濱鄉玉長段東向
臺東縣臺東市知本陸橋縣府1002658號路
臺東縣成功鎮台11線
臺東縣卑南鄉賓朗路
臺東縣達仁鄉台9線
臺東縣臺東市新生路
臺東縣大武鄉台9線
臺東縣臺東市仁義北路
臺東縣關山鎮台9線
臺東縣鹿野鄉鹿野村中華路一段
臺東縣臺東市臨海路三段
臺東縣臺東市豐谷南路
臺東縣臺東市知本路二段
臺東縣臺東市豐谷北路
臺東縣關山鎮台9線
臺東縣臺東市四維路三段
臺東縣大武鄉南興村聯外道路
臺東縣長濱鄉台11線
臺東縣卑南鄉太平路
臺東縣關山鎮台9線
臺東縣長濱鄉台11線
臺東縣卑南鄉初鹿幹線
臺東縣太麻里鄉多良村大溪路
臺東縣鹿野鄉村6鄰福佑路
臺東縣鹿野鄉台9線
臺東縣卑南鄉文泰路
臺東縣臺東市桂林北路
臺東縣大武鄉台9線435公里700.0公尺處北向路
臺東縣成功鎮忠仁里中山東路
臺東縣海端鄉東77公里
臺東縣臺東市臨海路1段
臺東縣臺東市民航路
臺東縣東河鄉台11線
臺東縣關山鎮台9線
臺東縣達仁鄉台9線
臺東縣卑南鄉太平村太平路
臺東縣卑南鄉和平路
臺東縣海端鄉台20線
臺東縣東河鄉台11線
臺東縣鹿野鄉台9線
