臺中市西區土庫里五權西路
臺中市北屯區平陽里文心路四段
臺中市南屯區豐樂里精誠南路
臺中市南屯區文山里向上路
臺中市西屯區福林里玉門路
臺中市太平區太平里新仁路一段
臺中市烏日區烏日里民權街
臺中市龍井區新庄里向上路六段
臺中市南屯區豐樂里精誠南路
臺中市霧峰區四德里中投西路二段
臺中市后里區后里區星科路
臺中市西區忠明里臺灣大道二段
臺中市西屯區福聯里臺灣大道
臺中市南屯區春社里永春南路
臺中市太平區祥順路一段
臺中市大甲區江南里經國路
臺中市北區建興里學士路
臺中市北屯區仁和里崇德路三段
臺中市新社區協成里協中街
臺中市梧棲區頂寮里臨港路四段
臺中市南區福興里美村路二段
臺中市太平區光明里大興路
臺中市梧棲區草湳里建國北街287巷文昌路
臺中市和平區南勢里東關路三段
臺中市南區長榮里國光路
臺中市龍井區南寮里向上路六段
臺中市大肚區頂街
臺中市東區東勢里進德路
臺中市大里區仁化里仁化路
臺中市梧棲區永安里臨港路三段
臺中市梧棲區草湳里港埠路一段
臺中市沙鹿區晉江里臺灣大道路七段
臺中市豐原區西湳里豐原大道六段
臺中市西屯區林厝里福雅路
臺中市神岡區岸裡里中山路
臺中市后里區厚里里三豐路
臺中市北區梅川里梅川西路三段
臺中市沙鹿區三鹿里向上路七段
臺中市潭子區潭秀里中山路二段
臺中市清水區南社里鰲峰路
臺中市北屯區舊社里旱溪西路三段
臺中市西屯區協和里工業區一路
臺中市豐原區南陽里豐原大道
臺中市清水區國道四號
臺中市東勢區延平里中正路
臺中市東區東勢里進化路
臺中市東勢區東興里勢林街產業道路
臺中市東區十甲里旱溪街
臺中市清水區國道四號3公里600公尺處東向外側路
臺中市大里區夏田里環河路一段
臺中市潭子區潭秀里中山路二段
臺中市太平區中興里永平路二段
臺中市西屯區何福里寧夏路
臺中市大里區永隆里國光路二段
臺中市大里區國光里國光路二段
臺中市大雅區國道一號
臺中市北屯區水景里環中東路
臺中市新社區月湖里東湖街
臺中市清水區環港北路
臺中市清水區下湳里中山路
臺中市大里區東興里國光路二段
臺中市西屯區福雅里福雅路
臺中市大肚區永順里萬興路
臺中市西屯區何安里四川路
臺中市東區干城里復興路五段
臺中市西區公正里林森路
臺中市北屯區后庄里后庄北路
臺中市西屯區何源里文心路三段
臺中市南區長春里復興路
臺中市大肚區新興里沙田路二段
臺中市北區建興里崇德路
臺中市南區城隍里忠孝路
臺中市北屯區部子里太原路
臺中市西區公民里自治街金山路
臺中市大甲區新美里經國路
臺中市大甲區國道三號
臺中市北屯區水景里東山路一段
臺中市西屯區科園路
臺中市大里區仁化里仁化路
臺中市北屯區水湳里文心路三段
臺中市南屯區永定里永春東路
臺中市霧峰區中正里四德路
臺中市清水區海濱里中清路九段
臺中市龍井區新東里遊園南路
臺中市西屯區潮洋里市政北七路
臺中市東勢區埤頭里石城街石山巷
臺中市大安區西安里東西八路
臺中市大里區國光里德芳南路
臺中市豐原區下街里三豐路
臺中市大甲區國道三號
臺中市清水區國道三號
臺中市大雅區員林里中清路四段
臺中市大里區樹王里中投東路三段
臺中市大肚區山陽里沙田路三段
臺中市北屯區同榮里中彰快速道路
臺中市沙鹿區埔子里向上路六段
臺中市新社區中正里中和街
臺中市豐原區豐田里豐原大道
臺中市西屯區何仁里文心路三段
臺中市潭子區栗林里中山路三段
臺中市烏日區九德里中山路一段
臺中市北屯區水景里旱溪東路
臺中市梧棲區興農里中央路一段
臺中市梧棲區興農里中華路一段
臺中市東區振興里立德街
臺中市烏日區烏日里新興路
臺中市太平區新坪里育仁路
臺中市龍井區田中里龍北路
臺中市大里區仁化里仁化路
臺中市清水區臨江里臨港路六段
臺中市清水區武鹿里西濱快速道路
臺中市西屯區上石里西屯路二段
臺中市大肚區大東里沙田路二段
臺中市龍井區山腳里中山二路一段
臺中市東勢區慶福里東關路
臺中市南屯區新生里環中路
臺中市烏日區國道一號
臺中市潭子區基隆線184公里712公尺處圓通南路
臺中市西屯區大石里中平路
臺中市后里區眉山里三月路
臺中市太平區新福里旱溪東路一段
臺中市東區東橋里建德街
臺中市大雅區二和里雅潭路四段
臺中市梧棲區頂寮里臨港路四段
臺中市西屯區西墩里西屯路二段
臺中市烏日區湖日里新興路
臺中市后里區廣福里三豐路
臺中市北區頂厝里崇德路
臺中市神岡區國道一號165公里200公尺處南向內側路
臺中市龍井區新庄里臺灣大道
臺中市西區平和里中華路
臺中市烏日區學田里學田路
臺中市石岡區土牛里豐勢路
臺中市大雅區大雅里中清東路
臺中市北區賴福里進化北路
臺中市西屯區西墩里福星西路
臺中市西屯區福瑞里福科路
臺中市大甲區銅安里中山路二段
臺中市大甲區江南里經國路
臺中市大甲區日南里黎明路
臺中市西區公正里東興路三段
臺中市清水區國道四號
臺中市南區福平里五權南路
臺中市太平區中山里中山路二段
臺中市龍井區麗水里中彰大橋路
臺中市沙鹿區鹿寮里民族路
臺中市沙鹿區西勢里中清路七段
臺中市西屯區協和里工業區二十六路
臺中市東區十甲里旱溪東路一段
臺中市大甲區江南里東西八路
臺中市西屯區國道一號
臺中市東區東橋里大智路
臺中市大雅區二和里雅潭路四段
臺中市龍井區忠和里西濱路三段
臺中市沙鹿區興安里興安路
臺中市南屯區豐樂里永春東二路
臺中市南屯區新生里環中路
臺中市大肚區頂街
臺中市中區綠川里建國路
臺中市豐原區豐田里市政路
臺中市大里區瑞城里中興路一段
臺中市清水區國道四號
臺中市沙鹿區西勢里中清路七段
臺中市大安區中庄里興安路
臺中市神岡區國道一號
臺中市烏日區光明里環河路一段
臺中市神岡區社南里昌平路五段
臺中市東區樂成里樂業路
臺中市梧棲區台中港區中南一橋圓環處
臺中市大里區祥興里大智路
臺中市北屯區＊子里太原路三段
臺中市大雅區六寶里月祥路
臺中市烏日區螺潭里環中路八段
臺中市豐原區社皮里西勢路
臺中市東區東門里旱溪西路一段
臺中市北屯區水景里太原路
臺中市南屯區寶山里向上路
臺中市北區明新里中清路
臺中市梧棲區草湳里港埠路一段
臺中市新社區永豐里明裕路
臺中市龍井區麗水里臨港路一段
臺中市太平區新城里樹孝路
臺中市北屯區新平里中清路二段
臺中市西屯區林厝里安林路
臺中市沙鹿區三鹿里向上路六段
臺中市北屯區大坑里東山路二段
臺中市東勢區新盛里東關路
臺中市大甲區國道三號163公里600公尺處南向中線
臺中市太平區中興里東平橋路
臺中市大肚區頂街里萬興路
臺中市大里區夏田里夏田路
臺中市西屯區協和里安和路
臺中市石岡區萬安里明德路
臺中市南屯區新生里環中路
臺中市神岡區三角里承德路
臺中市沙鹿區三鹿里向上路七段
臺中市烏日區榮泉里中山路三段
臺中市清水區秀水里中清路九段
臺中市北屯區后庄里中清路二段
臺中市西屯區港尾里中清路三段
臺中市大肚區瑞井里遊園路一段
臺中市霧峰區北勢里丁台路
臺中市北屯區水景里景賢路
臺中市大甲區義和里水美路
臺中市西屯區東大路
臺中市龍井區忠和里西濱路三段
臺中市后里區三豐路
臺中市清水區武鹿里五權路
臺中市南屯區三厝里向上路
臺中市龍井區竹坑里沙田路四段
臺中市大甲區銅安里長壽東西10路
臺中市西屯區林厝里都會園路
臺中市東區旱溪里自由路
臺中市太平區太平里永豐路
臺中市西區民龍里民權路
臺中市烏日區南里里溪南路三段
臺中市梧棲區安仁里臺灣大道九段
臺中市后里區公館里三豐路
臺中市龍井區麗水里南四路
臺中市北屯區部子里和順路
臺中市太平區聖和里長龍路一段
臺中市梧棲區大庄里中央路一段
臺中市大肚區新興里沙田路二段
臺中市清水區下湳里中山路
臺中市西區昇平里向上路一段
臺中市霧峰區甲寅里中正路
臺中市大肚區福山里沙田路一段
臺中市潭子區東寶里雅潭路二段
臺中市龍井區麗水里龍港路
臺中市龍井區龍昌路
臺中市東勢區新盛里東關路
臺中市梧棲區大村里港埠路一段
臺中市和平區南勢里東關路三段
臺中市西屯區林厝里都會園路
臺中市新社區福興里豐埔公路
臺中市北屯區松竹里河北西路
臺中市西屯區西墩里環中路二段
臺中市沙鹿區鹿峰里民族路
臺中市神岡區社南里昌平路五段
臺中市沙鹿區竹林里臺灣大道路七段
臺中市北屯區部子里太原路三段
臺中市大安區南埔里西濱公路
臺中市大甲區大甲里中山路一段
臺中市東勢區隆興里東坑路
臺中市西屯區協和里工業區三十六路
臺中市北屯區軍功里軍福十九路
臺中市南屯區豐樂里三民西路
臺中市東區干城里自由路三段
臺中市北屯區軍功里軍福十八路
臺中市南區工學里德富路
臺中市南屯區楓樹里永春東三路
臺中市沙鹿區斗抵里斗潭路
臺中市大甲區江南里東西七路
臺中市梧棲區大庄里中華路一段
臺中市沙鹿區西勢里中山路
臺中市沙鹿區興仁里光華路
臺中市東勢區南平里中正路
臺中市南區福平里美村路
臺中市西區利民里林森路
臺中市西屯區惠來里臺灣大道
臺中市大肚區王田里沙田路一段
臺中市龍井區山腳里中山二路二段
臺中市沙鹿區六路
臺中市西屯區潮洋里臺灣大道近朝富路
臺中市北屯區新平里中清路二段
臺中市西屯區潮洋里龍德路二段
臺中市烏日區螺潭里溪南路二段
臺中市北區賴厝里漢口路四段
臺中市清水區＊榔里鰲新路
臺中市烏日區山線202公里705公尺處成功東路
臺中市清水區國道四號4公里400公尺處西向外側路
臺中市大甲區江南里經國路
臺中市西屯區科園路
臺中市霧峰區北柳里新厝路
臺中市東區東信里旱溪東路一段
臺中市西屯區臺灣大道
臺中市大甲區西岐里西濱快速公路
臺中市南屯區文山里向上路
臺中市北屯區民德里東山路二段
臺中市烏日區國道一號
臺中市新社區中正里中和街
臺中市南區長春里復興路三段
臺中市龍井區龍昌路
臺中市大雅區西寶里雅潭路三段
臺中市潭子區潭北里人和路
臺中市西屯區惠來里惠來路
臺中市大甲區奉化里經國路
臺中市太平區德隆里光德路
臺中市西屯區西墩里環中路
臺中市西區公民里林森路
臺中市南屯區豐樂里文心南路
臺中市太平區東汴里長龍路二段
臺中市西屯區東大路
臺中市龍井區國道三號
臺中市清水區＊榔里臨港路五段
臺中市東區東信里旱溪東路一段
臺中市清水區臨江里高美路
臺中市烏日區三和里中山路三段
臺中市新社區中和里豐埔產業道路
臺中市北屯區三光里北屯路
臺中市西屯區大鵬里中平路
臺中市太平區德隆里光德路
臺中市龍井區南寮里向上路六段
臺中市清水區海濱里五權一街海濱路
臺中市西屯區協和里工業區十六路
臺中市潭子區栗林里中山路三段
臺中市沙鹿區三鹿里保順路
臺中市南屯區新生里永春路
臺中市豐原區社皮里豐原大道
臺中市北屯區三光里太原路三段
臺中市北屯區軍功里環中東路二段
臺中市南區永興里工學二街
臺中市清水區西社里中華路
臺中市龍井區田中里臨港東路一段
臺中市北屯區同榮里中彰快速道路
臺中市東區東門里東光園路
臺中市大肚區國道一號
臺中市清水區海濱里臨港路六段
臺中市石岡區金星里明德路
臺中市西屯區福中里工業區一路
臺中市東區東信里環中東路四段
臺中市豐原區社皮里豐原大道一段
臺中市大里區新仁里新仁路一段
臺中市大安區海墘里西濱公路
臺中市龍井區忠和里西濱快速道路
臺中市龍井區國道三號
臺中市霧峰區坑口里中正路
臺中市大肚區社腳里沙田路一段
臺中市龍井區國道三號
臺中市后里區后科路三段
臺中市龍井區麗水里龍港路
臺中市大里區瑞城里中興路一段
臺中市南屯區大業里大墩路
臺中市東區新庄里台中路
臺中市烏日區湖日里新興路
臺中市和平區南勢里東關路三段
臺中市北區崇德里漢口路五段
