road,count
屏東縣屏東市民生路,817
屏東縣麟洛鄉中山路,802
屏東縣屏東市廣東路,777
屏東縣屏東市建國路,764
屏東縣屏東市中正路,728
屏東縣屏東市自由路,706
屏東縣長治鄉中興路,478
屏東縣屏東市忠孝路,417
屏東縣內埔鄉老埤村壽比路,403
屏東縣屏東市前進里建國路,401
