road,count
南投縣南投市工業路,35
南投縣埔里鎮國道6號,34
南投縣魚池鄉,34
南投縣水里鄉鉅工村民生路,34
南投縣草屯鎮土城里中正路,34
南投縣竹山鎮延平里東鄉路,34
南投縣國姓鄉國道6號,33
南投縣南投市平山一路,33
南投縣鹿谷鄉中正路二段,33
南投縣埔里鎮西安路三段,33
南投縣草屯鎮山腳里富林路一段,33
南投縣中寮鄉義和村永平路,33
南投縣竹山鎮延正里江西路,33
南投縣南投市民生街,33
南投縣草屯鎮明正里中山街,33
南投縣草屯鎮御富路,32
南投縣埔里鎮北平街,32
南投縣埔里鎮大城里大城路,32
南投縣草屯鎮太平路,32
南投縣埔里鎮南村里中山路四段,32
南投縣埔里鎮大城里中山路3段,32
南投縣草屯鎮碧山南路,31
南投縣名間鄉國道3號,31
南投縣集集鎮吳厝里民生路,31
南投縣草屯鎮仁愛街,31
南投縣埔里鎮北門里北環路,31
南投縣草屯鎮中山里碧山路,31
南投縣魚池鄉投131線,31
南投縣草屯鎮敦和里信義街,31
南投縣埔里鎮東華路,31
南投縣埔里鎮大湳里中山路一段,31
南投縣草屯鎮?林路一段,31
南投縣水里鄉南光村中山路一段,30
南投縣竹山鎮山崇里集山路一段,30
南投縣竹山鎮竹山里大明路,30
南投縣草屯鎮富林路一段,30
南投縣埔里鎮桃南路,30
南投縣草屯鎮中山里中興路,30
南投縣水里鄉北埔村中山路一段,30
南投縣草屯鎮加老里芬草路3段,30
南投縣草屯鎮芬草路三段,29
南投縣埔里鎮中心路,29
南投縣鹿谷鄉鹿谷村中正路二段,29
南投縣草屯鎮和平里碧山路,29
南投縣竹山鎮竹山路,29
南投縣草屯鎮石川里石川路,28
南投縣鹿谷鄉中正路三段,28
南投縣埔里鎮大城里信義路,28
南投縣南投市,28
南投縣南投市府南二路,28
南投縣草屯鎮富寮里富頂路一段,28
南投縣南投市中學西路,27
南投縣竹山鎮山崇里集山路二段,27
南投縣草屯鎮中原里中和路,27
南投縣水里鄉台21線,27
南投縣南投市自強一路,27
南投縣草屯鎮山腳里富林路二段,26
南投縣埔里鎮河南路,26
南投縣名間鄉中正村彰南路,26
南投縣水里鄉台16線,26
南投縣草屯鎮炎峰里大成街,26
南投縣草屯鎮新庄里芬草路2段,26
南投縣竹山鎮雲林路,25
南投縣竹山鎮雲林里集山路三段,25
南投縣竹山鎮鹿山路,25
南投縣埔里鎮大湳路,25
南投縣草屯鎮史館路,25
南投縣南投市平山二路,25
南投縣埔里鎮育溪路,25
南投縣國姓鄉台21線,25
南投縣埔里鎮鐵山里鐵山路,24
南投縣南投市營北里中正路,24
南投縣南投市中學路,24
南投縣南投市自立一路,24
南投縣草屯鎮復興里復興路,24
南投縣竹山鎮中山里集山路三段,24
南投縣南投市鳳山里八卦路,24
南投縣草屯鎮國道6號,24
南投縣竹山鎮東鄉路,24
南投縣草屯鎮富寮里富林路一段,24
南投縣埔里鎮北梅里西安路一段,23
南投縣草屯鎮炎峰里虎山路,23
南投縣草屯鎮碧峰里立人路,23
南投縣南投市向上路,23
南投縣竹山鎮中崎里集山路三段,23
南投縣草屯鎮碧峰里碧興路一段,23
南投縣埔里鎮珠生路,23
南投縣國姓鄉136,23
南投縣草屯鎮炎峰街,22
南投縣仁愛鄉仁和路,22
南投縣南投市公園南街,22
南投縣埔里鎮樹人路,22
南投縣南投市鳳山路,22
南投縣南投市?稟路,22
南投縣草屯鎮富寮里博愛路,22
南投縣草屯鎮玉峰里博愛路,22
南投縣草屯鎮和平里中山街,22
南投縣鹿谷鄉興產路,22
南投縣埔里鎮建國路,21
南投縣名間鄉濁水村員集路,21
南投縣埔里鎮育英街,21
南投縣鹿谷鄉151,21
南投縣南投市虎山路,21
南投縣國姓鄉長流村大長路,21
南投縣草屯鎮山腳里正興街,21
南投縣南投市平和街,21
南投縣草屯鎮山腳里新生路,21
南投縣水里鄉民族路,21
南投縣草屯鎮中正里中山街,21
南投縣草屯鎮富寮里富中路,21
南投縣仁愛鄉台8線,21
南投縣草屯鎮芬草路一段,20
南投縣南投市南營路,20
南投縣信義鄉明德村玉山路,20
南投縣草屯鎮新豐里墩煌路四段,20
南投縣草屯鎮碧洲里碧興路一段,20
南投縣草屯鎮敦和里成功路,20
南投縣竹山鎮延和里大智路,20
南投縣草屯鎮山腳里省府路,20
南投縣埔里鎮福興路,20
南投縣竹山鎮前山路一段,20
南投縣埔里鎮慈恩街,20
南投縣中寮鄉龍南路,20
南投縣中寮鄉永福村永平路,20
南投縣草屯鎮碧峰里碧峰路,20
南投縣草屯鎮芬草路二段,19
南投縣南投市營北路,19
南投縣草屯鎮稻香路,19
南投縣草屯鎮大成街,19
南投縣埔里鎮水頭里水頭路,19
南投縣埔里鎮西寧路,19
南投縣信義鄉,19
南投縣埔里鎮枇杷里中正路,19
南投縣中寮鄉永平村永平路,19
南投縣南投市福山里八卦路,19
南投縣竹山鎮延平里集山路三段,19
南投縣草屯鎮敦和里新豐路,19
南投縣鹿谷鄉內湖村興產路,19
南投縣竹山鎮桂林里中山路,19
南投縣鹿谷鄉鹿彰路,19
南投縣南投市玉井街,19
南投縣竹山鎮社寮里集山路一段,18
南投縣南投市永興路,18
南投縣南投市成功二路,18
南投縣集集鎮林尾里林尾路,18
南投縣南投市成功一路,18
南投縣南投市公園街,18
南投縣竹山鎮下橫街,18
南投縣草屯鎮,18
南投縣竹山鎮竹山里竹山路,18
南投縣竹山鎮延正里延正路,18
南投縣埔里鎮桃米里桃米路,18
南投縣草屯鎮平林里平峰路,18
南投縣埔里鎮東門里中正路,18
南投縣草屯鎮和平里中正路,18
南投縣鹿谷鄉縣151線,18
南投縣草屯鎮炎峰里炎峰街,17
南投縣南投市軍功里中興路,17
南投縣埔里鎮北安里中山路二段,17
南投縣魚池鄉水社村中興路,17
南投縣埔里鎮西安路,17
南投縣埔里鎮東興一街,17
南投縣竹山鎮集山路,17
南投縣水里鄉中山路,17
南投縣名間鄉名山路,17
南投縣集集鎮152,17
南投縣南投市光榮東路,17
南投縣竹山鎮中正巷,17
南投縣竹山鎮育英路,17
南投縣南投市千秋里千秋路,17
南投縣草屯鎮碧興路一段,17
南投縣鹿谷鄉仁義路,17
南投縣竹山鎮中山里鯉南路,17
南投縣草屯鎮炎峰里碧山路,17
南投縣竹山鎮山崇里南雲路,17
南投縣中寮鄉永平路,17
南投縣草屯鎮玉峰里炎峰街,17
南投縣竹山鎮中山里頂林路,16
南投縣南投市營北里營北路,16
南投縣草屯鎮新豐里溪南路,16
南投縣草屯鎮信義街,16
南投縣草屯鎮和平里虎山路,16
南投縣鹿谷鄉中正路一段,16
南投縣埔里鎮南榮路,16
南投縣集集鎮投27,16
南投縣國姓鄉,16
南投縣集集鎮八張里民生路,16
南投縣草屯鎮富寮里富春路,16
南投縣草屯鎮敦和里忠孝街,16
南投縣竹山鎮中山里竹山路,16
南投縣埔里鎮自強路,16
南投縣草屯鎮中正里中正路,16
南投縣仁愛鄉大同村***路,16
南投縣草屯鎮和平里明賢街,15
南投縣草屯鎮中和路,15
南投縣草屯鎮富昌路,15
南投縣埔里鎮安七街,15
南投縣南投市成功東路,15
南投縣魚池鄉131,15
南投縣水里鄉中正路,15
南投縣南投市果稟路,15
南投縣水里鄉博愛路,15
南投縣國姓鄉柑林村中正路二段,15
南投縣草屯鎮立人路,15
南投縣草屯鎮玉峰里玉屏路,15
南投縣名間鄉新厝路,15
南投縣南投市營南里營盤路,15
南投縣鹿谷鄉初鄉村中正路三段,15
南投縣竹山鎮中山里自強路,15
南投縣水里鄉水信路一段,15
南投縣水里鄉中央村中正路,15
南投縣南投市興和巷,15
南投縣埔里鎮枇杷里和平東路,15
南投縣南投市鳳鳴里八卦路,15
南投縣草屯鎮明正里忠孝街,15
南投縣南投市光明一路,15
南投縣竹山鎮延平里集山路2段,15
南投縣仁愛鄉大同村仁和路,14
南投縣埔里鎮北辰街,14
南投縣埔里鎮鯉魚路,14
南投縣埔里鎮枇杷路,14
南投縣南投市平山里彰南路二段,14
南投縣魚池鄉東興巷,14
南投縣名間鄉名山路二段,14
南投縣南投市八德路,14
南投縣仁愛鄉,14
南投縣草屯鎮上林里民權西路,14
南投縣埔里鎮西康路,14
南投縣埔里鎮北澤街,14
南投縣草屯鎮南埔里南坪路,14
南投縣竹山鎮桂林里大智路,14
南投縣草屯鎮登輝路,14
南投縣名間鄉東湖村彰南路,14
南投縣竹山鎮中山路,14
南投縣埔里鎮東潤路,14
南投縣埔里鎮新生路,14
南投縣草屯鎮山腳里太平路,14
南投縣竹山鎮秀林里頂林路,14
南投縣埔里鎮梅子路,14
南投縣水里鄉鉅工村民族路,14
南投縣南投市祖祠東路,14
南投縣南投市營南里中華路,14
南投縣集集鎮集鹿路,14
南投縣草屯鎮中山里碧山南路,14
南投縣草屯鎮玉峰里玉峰街,14
南投縣國姓鄉縣136線,14
南投縣魚池鄉縣131線,14
南投縣埔里鎮合成里西安路?段,14
南投縣草屯鎮新豐里成功路,13
南投縣草屯鎮碧興路,13
南投縣草屯鎮平等街,13
南投縣鹿谷鄉鹿谷村鹿彰路,13
南投縣草屯鎮芬草路,13
南投縣埔里鎮杷城里中正路,13
南投縣國姓鄉長福村大長路,13
南投縣竹山鎮雲林里大明路,13
南投縣南投市三和里三和三路,13
南投縣竹山鎮竹山里下橫街,13
南投縣南投市營南里南營路,13
南投縣埔里鎮向善路,13
南投縣草屯鎮碧峰路,13
南投縣埔里鎮籃城里中正路,13
南投縣竹山鎮竹山里育英路,13
南投縣國姓鄉石門村中興路,13
南投縣南投市樂利路,13
南投縣國姓鄉北港村長北路,13
南投縣竹山鎮德興里鯉南路,13
南投縣草屯鎮新厝里建興街,13
南投縣草屯鎮玉峰里東美街,13
南投縣草屯鎮富頂路一段,13
南投縣草屯鎮新生路,13
南投縣埔里鎮史港里中正路,13
南投縣草屯鎮石川里碧興路二段,13
南投縣南投市文林路,13
南投縣南投市嘉和北路,13
南投縣草屯鎮石川里墩煌路二段,13
南投縣鹿谷鄉中正路2段,13
南投縣水里鄉民權路,12
南投縣南投市營盤路,12
南投縣竹山鎮大禮路,12
南投縣草屯鎮省府路,12
南投縣國姓鄉國姓路,12
南投縣埔里鎮北安里中華路,12
南投縣南投市軍功路,12
南投縣草屯鎮富林路二段,12
南投縣鹿谷鄉廣興村興產路,12
南投縣南投市登施路,12
南投縣中寮鄉中寮村永平路,12
