road,count
苗栗縣苗栗市水源里中正路,31
苗栗縣竹南鎮營盤里建國路,31
苗栗縣竹南鎮竹興里博愛街,31
苗栗縣後龍鎮台一線,31
苗栗縣大湖鄉台3線,31
苗栗縣苗栗市高苗里中山路,31
苗栗縣頭份鎮銀河路,30
苗栗縣竹南鎮照南里立達街,30
苗栗縣苑裡鎮房裡里,30
苗栗縣竹南鎮山佳里光復路,30
苗栗縣頭份市光華北路,30
苗栗縣頭份市中正三路,30
苗栗縣頭份鎮光華北路,29
苗栗縣卓蘭鎮中山路,29
苗栗縣大湖鄉台三線,29
苗栗縣苗栗市勝利路,29
苗栗縣苑裡鎮苑北里中山路,29
苗栗縣苗栗市恭敬里中正路,29
苗栗縣苗栗市中華東街,29
苗栗縣公館鄉國道1號,29
苗栗縣後龍鎮國道3號,28
苗栗縣苗栗市嘉福街,28
苗栗縣苑裡鎮苑南里天下路,28
苗栗縣頭份鎮永貞路一段,28
苗栗縣頭份鎮尖豐公路,28
苗栗縣頭份市自強,28
苗栗縣竹南鎮環市路一段,27
苗栗縣頭屋鄉象山村象山路,27
苗栗縣通霄鎮平安里中正路,27
苗栗縣後龍鎮勝利路,27
苗栗縣竹南鎮營盤里環市路三段,27
苗栗縣竹南鎮大厝里大營路,27
苗栗縣苗栗市勝利里中正路,27
苗栗縣苗栗市縣府路,26
苗栗縣頭份鎮東興路,26
苗栗縣通霄鎮通西里中正路,26
苗栗縣竹南鎮大厝里國泰路,26
苗栗縣銅鑼鄉苗128線,26
苗栗縣造橋鄉平仁路,26
苗栗縣竹南鎮照南里三泰街,26
苗栗縣苑裡鎮苗130線,26
苗栗縣公館鄉苗119甲線,26
苗栗縣苗栗市建功里中正路,26
苗栗縣苑裡鎮國道3號,25
苗栗縣苗栗市復興路,25
苗栗縣苑裡鎮和平路,25
苗栗縣頭份鎮興隆路,25
苗栗縣苑裡鎮客庄里世界路,25
苗栗縣頭份鎮和平路,25
苗栗縣頭份鎮建國路二段,25
苗栗縣頭份鎮國道1號,25
苗栗縣苑裡鎮新興路,25
苗栗縣苗栗市福園街,25
苗栗縣苑裡鎮中正里,25
苗栗縣苗栗市文聖里文發路,25
苗栗縣苗栗市長安街,25
苗栗縣通霄鎮通東里中正路,25
苗栗縣南庄鄉苗124乙線,25
苗栗縣三義鄉八股路,25
苗栗縣頭份市忠孝二路,25
苗栗縣竹南鎮復興路,24
苗栗縣造橋鄉國道1號,24
苗栗縣卓蘭鎮台3,24
苗栗縣通霄鎮梅南里南和路二段,24
苗栗縣苗栗市南勢里,24
苗栗縣頭屋鄉象山路,24
苗栗縣竹南鎮民族街,24
苗栗縣竹南鎮科研路,24
苗栗縣竹南鎮竹南里民族街,24
苗栗縣頭份市東興路,24
苗栗縣竹南鎮科專五路,23
苗栗縣苗栗市建功街,23
苗栗縣頭份鎮尖豐路,23
苗栗縣苗栗市文山里國華路,23
苗栗縣苑裡鎮建國路,23
苗栗縣卓蘭鎮台三線,23
苗栗縣竹南鎮照南里自強街,23
苗栗縣公館鄉台72,23
苗栗縣後龍鎮造豐路,23
苗栗縣竹南鎮延平路,23
苗栗縣造橋鄉台1線,23
苗栗縣苑裡鎮新復里,23
苗栗縣苗栗市新都街,22
苗栗縣竹南鎮營盤里大營路,22
苗栗縣獅潭鄉台三線,22
苗栗縣苑裡鎮台一線,22
苗栗縣竹南鎮大營路,22
苗栗縣苑裡鎮大興路,22
苗栗縣苑裡鎮房裡里中山路,22
苗栗縣苗栗市大同路,22
苗栗縣銅鑼鄉自強路,22
